X,Y,OBJECTID,l_ep_maj,l_type,sous_cat,sous_cat2,sous_cat3,label,reseau1,reseau2,reseau3,reseau4,reseau5,adresse,type_lieu,geometry,longitude,latitude,arrondissement
652116.984800003,6863265.5343,2324,LIBRAIRIE PETITE EGYPTE,librairie,généraliste, , ,Librairie Indépendante de Référence,Paris Librairies,Place des Libraires, , , ,18 RUE DES FOSSÉS SAINT-BERNARD,Commerces du livre,POINT (2.3472636874702917 48.86763761726379),2.3472636874702917,48.86763761726379,2.0
654742.158500001,6863265.7348,2325,L'OFFICINE,librairie,maison d'édition, , , , , , , , ,PLACE COLETTE & GALERIE DE NEMOURS,Commerces du livre,POINT (2.3830482639450272 48.867829226365274),2.3830482639450272,48.867829226365274,20.0
652083.706299998,6863265.8262,2326,LIBRAIRIE ARTELOT,librairie,généraliste, , , , , , , , ,25 RUE DES ECOLES,Commerces du livre,POINT (2.3468100261710876 48.86763776748267),2.3468100261710876,48.86763776748267,2.0
651307.404700004,6863268.3673,2327,VOYAGEURS DU MONDE,librairie,spécialisée,voyage, , , , , , , ,2B RUE DES ANGLAIS,Commerces du livre,POINT (2.336227766191579 48.86760240095125),2.336227766191579,48.86760240095125,2.0
652448.705499999,6863271.031,2328,ATELIER MARILYNE MONROE,galerie d'art,,,,,,,,,,8 PASSAGE DES GRAVILLIERS,Commerces de l'art et d'antiquités,POINT (2.3517848507899224 48.86771162277432),2.3517848507899224,48.86771162277432,2.0
642539.033799998,6863272.0541,2329,MAG PRESSE SURESNES,librairie,maison de la presse, , , , , , , , ,57 GRANDE RUE CHARLES DE GAULLE,Commerces du livre,POINT (2.216705019512931 48.866913016122666),2.216705019512931,48.866913016122666,
652750.105099998,6863272.686,2330,JEROME PAUCHANT,galerie d'art,,,,,,,,,,5 RUE DE SAINTONGE,Commerces de l'art et d'antiquités,POINT (2.355893137303533 48.86774868622678),2.355893137303533,48.86774868622678,3.0
652798.715000004,6863273.3949,2331,WUNDERKAMMER,galerie d'art,,,,,,,,,,10 RUE DE SAINTONGE,Commerces de l'art et d'antiquités,POINT (2.35655567555556 48.867758625288616),2.35655567555556,48.867758625288616,3.0
654842.724200003,6863273.7828,2332,*** NON RENSEIGNE ***,galerie d'art,,,,,,,,,,24 AVENUE DE LA REPUBLIQUE,Commerces de l'art et d'antiquités,POINT (2.3844182576744704 48.867908659130585),2.3844182576744704,48.867908659130585,20.0
653009.508900002,6863274.4778,2333,GROUND EFFECT,galerie d'art,,,,,,,,,,199B RUE SAINT-MARTIN,Commerces de l'art et d'antiquités,POINT (2.359428955851414 48.86778377646915),2.359428955851414,48.86778377646915,3.0
