X,Y,OBJECTID,l_ep_maj,l_type,sous_cat,sous_cat2,sous_cat3,label,reseau1,reseau2,reseau3,reseau4,reseau5,adresse,type_lieu
676996.352700002,6826345.4536,1,JAKOBOWICZ ET ASSOCIES - HOTEL DES VENTES DE MELUN,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités
661833.509900004,6834430.3997,2,CAMPER-DABERNAT,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités
654276.366700001,6840574.9064,3,POINT PLUS VIRY CHATILLON,librairie,maison de la presse, , , , , , , , ,114 GRANDE RUE,Commerces du livre
650700.369499996,6840737.321,4,FNAC AEROPORT ORLY 3,grande distribution,grande distribution de produits culturels, , , , , , ,,,PASSAGE DU BOURG-L'ABBÉ & RUE SAINT-DENIS,Commerces du livre
651662.679099999,6842664.6828,5,MICHEL ROBIC,antiquaire,,,,,,,,,,PLACE DES ANTIQUAIRES & PASSAGE DE LA GEÔLE,Commerces de l'art et d'antiquités
654114.589299999,6842779.4494,6,ANTIQUITES 2000,antiquaire,,,,,,,,,,1-13 RUE DE LA POURVOIERIE,Commerces de l'art et d'antiquités
654282.171499997,6843016.8389,7,LIBRAIRIE PASTEUR,librairie,maison de la presse, , , , , , , , ,41 AVENUE GEORGES POMPIDOU,Commerces du livre
654027.278200001,6843514.9417,8,VINCENT ART,antiquaire,,,,,,,,,,3 BIS RUE DU BAILLIAGE,Commerces de l'art et d'antiquités
654020.906599998,6843528.4443,9,LES VRAIES RICHESSES,librairie,généraliste, , ,Librairie Indépendante de Référence,Place des Libraires, , , , ,ROUTE FORESTIÈRE DE LA SOURCE,Commerces du livre
653184.730800003,6843743.702,10,MIX ARTS LOISIRS,librairie,maison de la presse, , , , , , , , ,7 AVENUE DE PARIS,Commerces du livre
671079.819700003,6844347.9636,11,MAITRE HENRIKA MAASSEN - ENCHERES PARIS SUD EST,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités
640244.183700003,6844496.4323,12,LIBRAIRIE LES BEAUX PAPIERS,librairie,généraliste, , , , , , , , ,4 RUE FLORIAN,Commerces du livre
653931.317900002,6844679.3433,13,ACHAT ANTIQUITES BROCANTE - PASCAL GALLOT,antiquaire,,,,,,,,,,12 RUE DES ETATS GÉNÉRAUX,Commerces de l'art et d'antiquités
636279.424800001,6844968.1808,14,LIRAGIF,librairie,généraliste, , ,Librairie Indépendante de Référence,Place des Libraires, , , , ,16 RUE TROYON,Commerces du livre
636144.503200002,6845059.8332,15,GALERIE ALJANCIC,galerie d'art,,,,,,,,,,RUE DU CASTEL & RUE DE GENTILLY,Commerces de l'art et d'antiquités
652914.544100001,6845263.8692,16,ATELIER AUDIBERT,galerie d'art,,,,,,,,,,RUE DES BUISSONS & RUE DES MARGUILLIERS,Commerces de l'art et d'antiquités
643946.462499999,6845284.2032,17,LIBRAIRIE LES EAUX VIVES,librairie,maison de la presse, , , , , , , , ,25 RUE TRÉBOIS,Commerces du livre
653603.782799996,6845348.2703,18,ANTIQUITES QUENTIN GAUDILLAT,antiquaire,,,,,,,,,,CITÉ DES 3 PASSAGES & RUE DU BAILLIAGE,Commerces de l'art et d'antiquités
644252.0973,6845922.2467,19,ESPACE 181,galerie d'art,,,,,,,,,,35 RUE DE NOISEAU,Commerces de l'art et d'antiquités
653080.397,6846018.2483,20,LIBRAIRIE PAPETERIE PRESSE SAUVRY,librairie,maison de la presse, , , , , , , , ,RUE FLORIAN & RUE DES ÉCOLES,Commerces du livre
644296.522600003,6846081.1516,21,LA FONTAINE AUX LIVRES,librairie,généraliste, , , , , , , , ,61 RUE VOLTAIRE,Commerces du livre
644625.670999996,6846546.9865,22,AU BONHEUR DU JOUR,antiquaire,,,,,,,,,,QUAI DES GRANDS-AUGUSTINS,Commerces de l'art et d'antiquités
666116.296300001,6846937.6911,23,AU FIL DES PAGES - LIBRAIRIE DU REVEILLON,librairie,généraliste,restauration, , , , , , , ,14 BOULEVARD MORLAND,Commerces du livre
652873.755500004,6847743.5136,24,FNAC AEROPORT ORLY 2,grande distribution,grande distribution de produits culturels, , , , , , ,,,11 RUE RAMEAU,Commerces du livre
652843.993299998,6847799.5381,25,FNAC AEROPORT ORLY 1,grande distribution,grande distribution de produits culturels, , , , , , ,,,RUE DES PETITS-CHAMPS & GALERIE VIVIENNE,Commerces du livre
668377.5995,6847895.3525,26,ANTIQUE ART GALLERY,antiquaire,,,,,,,,,,RUE BAILLET REVIRON & PASSAGE DE LA GEÔLE,Commerces de l'art et d'antiquités
646748.115000002,6847982.0229,27,LIBRAIRIE ARBORESCENCE,librairie,généraliste, , , ,Leslibraires.fr,Place des Libraires, , , ,13-27 RUE DE LA MAIRIE,Commerces du livre
657323.003700003,6848470.4032,28,LE PETIT DIABLE,librairie,généraliste, , , , , , , , ,39 RUE DE BRETAGNE,Commerces du livre
667152.114600003,6848644.6495,29,LIBRAIRIE DE MAROLLES,librairie,maison de la presse, , , , , , , , ,37 RUE DE RIVOLI,Commerces du livre
649962.078100003,6849023.9256,30,LA FABRIQUE VEGETALE,galerie d'art,galerie-fleuriste,,,,,,,,,60 RUE PASTEUR,Commerces de l'art et d'antiquités
655608.014300004,6849372.5327,31,LIBRAIRIE DU VIEIL ORLY,librairie,maison de la presse, , , , , , , , ,33 BOULEVARD DU TEMPLE,Commerces du livre
661044.2346,6849432.2773,32,LIBRAIRIE PRESSE ISABELLE HIVERT,librairie,maison de la presse, , , , , , , , ,58 RUE DE L'HÔTEL DE VILLE,Commerces du livre
656446.3697,6849496.4946,33,E. LECLERC ESPACE CULTUREL ORLY,grande distribution,grande distribution de produits culturels, , , , , , ,,,RUE DES PETITS-CHAMPS & GALERIE VIVIENNE,Commerces du livre
664128.517899998,6850048.2479,34,AZ CULTURE,librairie,maison de la presse, , , , , , , , ,CITÉ NOËL & RUE RAMBUTEAU,Commerces du livre
662377.074500002,6850210.5488,35,L'ARCHE DES HEROS,librairie,généraliste, , , , , , , , ,15 BOULEVARD HENRI IV,Commerces du livre
648775.502899997,6850597.2758,36,LA PASSERELLE,librairie,généraliste, , ,Librairie Indépendante de Référence,Paris Librairies,Place des Libraires, , , ,4 RUE CARTAULT,Commerces du livre
648903.621100001,6850610.4898,37,ANTONY M'PRESSE,librairie,maison de la presse, , , , , , , , ,2 RUE DU BOURNARD,Commerces du livre
648328.865500003,6850689.1848,38,DANS LA COUR DES ARTISTES,galerie d'art,,,,,,,,,,AVENUE GASTON ROUSSEL,Commerces de l'art et d'antiquités
650555.495499998,6850696.3628,39,LA CERISAIE,librairie,maison de la presse, , , , , , , , ,48 RUE SAINTE-ANNE,Commerces du livre
648992.8367,6850932.4865,40,BD GEEK,librairie,spécialisée,bande dessinée, , ,Canal BD, , , , ,3 RUE DE LA CONCORDE,Commerces du livre
649651.526199996,6850963.4278,41,LIBRAIRIE DE LA PEUPLERAIE,librairie,maison de la presse, , , , , , , , ,39 RUE VOLTA,Commerces du livre
649003.487800002,6850990.3247,42,INKIPIT,librairie,généraliste, , , , , , , , ,RUE FRANÇOIS 1ER & RUE FÉLIX FAURE,Commerces du livre
654978.165799998,6851134.7082,43,FNAC THIAIS,grande distribution,grande distribution de produits culturels, , , , , , ,,,44 RUE SAINTE-ANNE,Commerces du livre
630246.337300003,6851333.9784,44,LETTRES VOISINES,librairie,généraliste, , , , , , , , ,RUE CARNOT & PLACE HENRI BARBUSSE,Commerces du livre
656487.504799999,6851344.6853,45,LE MARQUE PAGE,librairie,généraliste, , , , , , , , ,90 QUAI DE L'HÔTEL DE VILLE,Commerces du livre
647239.100000001,6851571.6,46,GALERIE ELISART,galerie d'art,,,,,,,,,,60 RUE GABRIEL PÉRI,Commerces de l'art et d'antiquités
655294.962800004,6851806.3993,47,LIBRAIRIE BROSSARD,librairie,généraliste, , , , , , , , ,72 BOULEVARD DE SÉBASTOPOL,Commerces du livre
664964.733400002,6851925.876,48,DOMINIQUE BADIN DE MONTJOYE,antiquaire,,,,,,,,,,86 AVENUE ALBERT CAILLOU,Commerces de l'art et d'antiquités
628032.000200003,6852017.3907,49,ART MANET,foire d'art,art contemporain,,,,,,,,,RUE CHARLES V & RUE SAINT-PAUL,Commerces de l'art et d'antiquités
664710.891000003,6852354.0466,50,LIBRAIRIE L'OISEAU MOQUEUR,librairie,généraliste, , , , , , , , ,66 RUE DU TEMPLE,Commerces du livre
646774.897299998,6852522.0777,51,ANTIQUITES LA VERANDA,antiquaire,,,,,,,,,,PLACE DES ANTIQUAIRES & PASSAGE DE LA GEÔLE,Commerces de l'art et d'antiquités
653484.889899999,6852567.1516,52,MAG PRESSE CHEVILLY LARUE,librairie,maison de la presse, , , , , , , , ,RUE MALHER & RUE PAVÉE,Commerces du livre
652988.778300002,6852655.4336,53,LA LIBRAIRIE DU PLATEAU,librairie,généraliste, , , ,Place des Libraires, , , , ,62 RUE SAINT-ANTOINE,Commerces du livre
665456.680399999,6852678.676,54,GALERIE-ATELIER D'ART HAUTE-MAISON,galerie d'art,,,,,,,,,,23 RUE DES FILLES DU CALVAIRE,Commerces de l'art et d'antiquités
660126.732600003,6852706.5142,55,LIBRAIRIE NESS,librairie,spécialisée,religion,judaïsme, , , , , , ,99 RUE DE RIVOLI,Commerces du livre
648112.983900003,6853227.3667,56,LIBRAIRIE FLORIAN,librairie,spécialisée,livres rares, , , , , , , ,31 RUE LÉCUYER,Commerces du livre
648111.001400001,6853259.8506,57,LE ROI LIRE,librairie,généraliste, , ,Librairie Indépendante de Référence,Leslibraires.fr, , , , ,138 RUE DES ROSIERS,Commerces du livre
645563.417499997,6853335.2306,58,MAG PRESSE,librairie,maison de la presse, , , , , , , , ,7 PLACE GABRIEL PÉRI,Commerces du livre
651132.999600001,6853350.4753,59,STUDIO PRESSE,librairie,maison de la presse, , , , , , , , ,3 RUE DE MARIVAUX,Commerces du livre
647974.001900002,6853364.8181,60,MAISON DE LA PRESSE SCEAUX,librairie,maison de la presse, , , , , , , , ,RUE DES ROSIERS & MARCHÉ VERNAISON,Commerces du livre
659957.486900002,6853421.1153,61,FNAC CRETEIL,grande distribution,grande distribution de produits culturels, , , , , , ,,,RUE DES PETITS-CHAMPS & GALERIE VIVIENNE,Commerces du livre
649620.807300001,6853504.7315,62,L'INFINIE COMEDIE,librairie,généraliste, , , ,Paris Librairies,Place des Libraires, , , ,56 RUE DES ROSIERS,Commerces du livre
659298.813500002,6853646.0348,63,LIBRAIRIE AVERROES,librairie,spécialisée,religion,islam, , , , , , ,4 RUE DES INNOCENTS,Commerces du livre
649760.527900003,6853719.5664,64,L'ART DES MOTS,librairie,généraliste, , , , , , , , ,140 RUE DES ROSIERS,Commerces du livre
648887.009000003,6853890.6456,65,SIBONI - HOTEL DES VENTES DE SCEAUX,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités
669195.639200002,6853936.7914,66,AUX LIVRES DE VALENTIN,librairie,maison de la presse, , , , , , , , ,RUE QUINCAMPOIX & RUE DE VENISE,Commerces du livre
629591.961400002,6854239.1434,67,FURET DU NORD MONTIGNY-LE-BRETONNEUX,grande distribution,grande distribution de produits culturels,,,,,,,,,2-2 IMPASSE BEAUBOURG,Commerces du livre
643111.206600003,6854374.6119,68,TOUXXE,antiquaire,,,,,,,,,,RUE MENARD & RUE DES ÉTATS-GÉNÉRAUX,Commerces de l'art et d'antiquités
670088.842699997,6854688.0102,69,CULTURA BELLE EPINE,grande distribution,grande distribution de produits culturels, , , , , , ,,,PASSAGE DU PONCEAU & RUE SAINT-DENIS,Commerces du livre
655681.312799998,6854712.5153,70,LE TOME 47,librairie,spécialisée,bande dessinée, , ,Paris Librairies,Place des Libraires, , , ,20 RUE DUPETIT-THOUARS,Commerces du livre
662536.310999997,6854739.0234,71,MAISON LEFEVRE PÈRE ET FILS,antiquaire,,,,,,,,,,45 RUE DE LA PELOUSE,Commerces de l'art et d'antiquités
655683.6184,6854754.7498,72,LIVRES EN LUTTE,librairie,spécialisée,livres d'occasion, , , , , , , ,113 RUE DE TURENNE,Commerces du livre
655560.306199998,6854798.3881,73,LES MOTS RETROUVES,librairie,généraliste, , , ,Leslibraires.fr,Paris Librairies,Place des Libraires, , ,175 RUE SAINT-MARTIN,Commerces du livre
647626.1954,6854830.4623,74,LIBRAIRIE LES PECHEURS D'ETOILES,librairie,généraliste,restauration, , ,Place des Libraires, , , , ,206 ALLÉE DE MONTFERMEIL,Commerces du livre
664297.484700002,6854851.4472,75,LIBRAIRIE L'ECLECTIQUE,librairie,généraliste, , , , , , , , ,22 RUE POISSONNIÈRE,Commerces du livre
660526.125699997,6854881.3374,76,MAG PRESSE CRETEIL,librairie,maison de la presse, , , , , , , , ,4 RUE HÉROLD,Commerces du livre
653459.531900004,6854902.5965,77,MAISON DE LA PRESSE VILLEJUIF,librairie,maison de la presse, , , , , , , , ,10 RUE DES BARRES,Commerces du livre
653299.997199997,6854925.2262,78,LIBRAIRIE COOPERATIVE POINTS COMMUNS,librairie,généraliste, , ,Librairie de Référence,Place des Libraires, , , , ,15 RUE DE JOUY,Commerces du livre
664136.401699997,6855022.4546,79,72 ART GALLERY,galerie d'art,atelier-galerie,,,,,,,,,19 RUE MOLIÈRE,Commerces de l'art et d'antiquités
664121.987000003,6855031.4397,80,AUX MOTS TORDUS,librairie,spécialisée,jeunesse, , ,Leslibraires.fr, , , , ,RUE DES PETITS-CHAMPS & GALERIE VIVIENNE,Commerces du livre
651052.783200003,6855035.1551,81,LIBRAIRIE CHRONIQUES,librairie,généraliste, , ,Librairie Indépendante de Référence,Paris Librairies,Place des Libraires, , , ,RUE DU NIL & RUE DES PETITS-CARREAUX,Commerces du livre
662228.302900001,6855049.9112,82,OLIVIER HEITZMANN,antiquaire,,,,,,,,,,6 AVENUE DU MARÉCHAL FOCH,Commerces de l'art et d'antiquités
665721.495399997,6855057.4575,83,PETITES HISTOIRES ENTRE AMIS,librairie,généraliste, , , ,Place des Libraires, , , , ,9 RUE SAINT-MARTIN,Commerces du livre
667800.976499997,6855076.0872,84,CULTURA PINCE VENT,grande distribution,grande distribution de produits culturels, , , , , , ,,,65 RUE SAINTE-ANNE,Commerces du livre
656007.215300001,6855080.4112,85,LA MAISON DES ANTIQUITES DE VITRY,antiquaire,,,,,,,,,,10 RUE RAMEAU,Commerces de l'art et d'antiquités
664394.454499997,6855110.0781,86,LOMBRAIL-TEUCQUAM MAISON DE VENTES,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités
657221.3873,6855136.4041,87,E. LECLERC ESPACE CULTUREL VITRY-SUR-SEINE,grande distribution,grande distribution de produits culturels, , , , , , ,,,63 RUE SAINTE-ANNE,Commerces du livre
650127.006800003,6855175.2464,88,A LA DECOUVERTE DE L'UNIVERS,librairie,maison de la presse, , , , , , , , ,51 AVENUE DANIELLE CASANOVA,Commerces du livre
651279.024899997,6855276.206,89,LA CACHOTTERIE - GALERIE D'ARTS MINUSCULES,galerie d'art,,,,,,,,,,17 RUE SAINT-ROCH,Commerces de l'art et d'antiquités
651738.8649,6855334.2937,90,SALLES DE BAINS ROYALES,antiquaire,,,,,,,,,,1-13 RUE DE LA POURVOIERIE,Commerces de l'art et d'antiquités
654367.000699997,6855539.1869,91,FINDINGMOON BOOKSTORE,librairie,spécialisée,langue étrangère,chinois, , , , , , ,199 RUE SAINT-MARTIN,Commerces du livre
635852.396200001,6855539.944,92,QVINTVS ME FECIT,antiquaire,,,,,,,,,,VOIE GEORGES POMPIDOU,Commerces de l'art et d'antiquités
635830.415600002,6855604.6791,93,GALERIE VANAURA,galerie d'art,,,,,,,,,,22-38 AVENUE FRANKLIN ROOSEVELT,Commerces de l'art et d'antiquités
637094.507799998,6855635.3078,94,LE CHESNAY ENCHERES - REY & GUINOT,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités
635864.6734,6855646.7777,95,LIBRAIRIE BOGATYR TRAINEAU,librairie,spécialisée,livres rares, , , , , , , ,11 RUE DU GÉNÉRAL LECLERC,Commerces du livre
650666.299999997,6855659.5,96,GALERIE PASCAL VANHOECKE,galerie d'art,,,,,,,,,,53 RUE JULES VALLÈS,Commerces de l'art et d'antiquités
666917.974100001,6855714.5407,97,LIBRAIRIE DU BELVEDERE,librairie,maison de la presse, , , , , , , , ,14 RUE DES FILLES DU CALVAIRE,Commerces du livre
635918.609300002,6855754.5957,98,MANGATEK,librairie,spécialisée,bande dessinée,manga, , , , , , ,29-39 RUE D'ALSACE,Commerces du livre
662250.034500003,6855758.7255,99,BAZAR DU MANGA,librairie,spécialisée,bande dessinée,manga, , , , , , ,224 RUE DE RIVOLI,Commerces du livre
652451.171599999,6855785.8592,100,DUVERNEIX ATELIER GALERIE,galerie d'art,atelier-galerie,,,,,,,,,15 RUE PAYENNE,Commerces de l'art et d'antiquités
657555.482799999,6855806.3031,101,LIBRAIRIE DUVAL,librairie,maison de la presse, , , , , , , , ,7 BOULEVARD DE BONNE NOUVELLE,Commerces du livre
635797.173100002,6855807.3125,102,LIBRAIRIE ANTOINE,librairie,généraliste,restauration, , , , , , , ,1 PLACE DE LA RÉPUBLIQUE,Commerces du livre
635829.321199998,6855811.2907,103,ANTIQUITES SAINT LOUIS,antiquaire,,,,,,,,,,QUAI DES GRANDS-AUGUSTINS,Commerces de l'art et d'antiquités
635731.584100001,6855821.0502,104,A LA PROTECTION DE MARIE,librairie,spécialisée,religion,christianisme, , , , , , ,4 AVENUE JULES FERRY,Commerces du livre
635681.414800003,6855828.275,105,GALERIE MEIER,galerie d'art,,,,,,,,,,123 RUE DE FONTENAY,Commerces de l'art et d'antiquités
635681.414800003,6855828.275,106,GALERIE MEIER,antiquaire,,,,,,,,,,VOIE GEORGES POMPIDOU,Commerces de l'art et d'antiquités
658222.196699999,6855853.5007,107,LIBRAIRIE PAPETERIE DE LA MAIRIE,librairie,maison de la presse, , , , , , , , ,26 RUE SAINT-ANTOINE,Commerces du livre
647689.788900003,6855870.216,108,MAISON DE LA PRESSE CHATILLON,librairie,maison de la presse, , , , , , , , ,51 AVENUE GABRIEL PÉRI,Commerces du livre
636306.2817,6855870.7536,109,AU FACTEUR CHEVAL,antiquaire,,,,,,,,,,QUAI DES GRANDS-AUGUSTINS,Commerces de l'art et d'antiquités
635794.501999997,6855897.5211,110,VERSAILLES ENCHERES,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités
635637.004799999,6855921.4042,111,L'ORANGERIE,antiquaire,,,,,,,,,,VOIE GEORGES POMPIDOU,Commerces de l'art et d'antiquités
649926.023199998,6855925.7564,112,LUMIERE D'ORIENT,librairie,spécialisée,religion,islam, , , , , , ,AVENUE HENRI BARBUSSE & RUE ÉMILE BIDENT,Commerces du livre
645933.907200001,6855940.9165,113,MÉMOIRE 7,librairie,généraliste, , ,Librairie Indépendante de Référence,Leslibraires.fr,Paris Librairies,Place des Libraires, , ,RUE DU CHÂTEAU & BOULEVARD VOLTAIRE,Commerces du livre
635682.491599999,6855945.3547,114,BLUEFABRIKER,galerie d'art,,,,,,,,,,87 QUAI DE LA MARNE,Commerces de l'art et d'antiquités
635828.467699997,6855953.4122,115,CHEVAU-LEGERS ENCHERES VERSAILLES,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités
635658.4648,6855964.6348,116,PERSONNALI'THE,librairie,spécialisée,ésotérisme, , , , , , , ,17 RUE VOLTAIRE,Commerces du livre
635735.963600002,6855984.5693,117,LE POTAGER DU LIVRE,librairie,généraliste, , , , , , , , ,2-8 PLACE DU GÉNÉRAL DE GAULLE,Commerces du livre
636257.521600001,6855985.4869,118,J. POUILLON,antiquaire,,,,,,,,,,VOIE GEORGES POMPIDOU,Commerces de l'art et d'antiquités
635522.565800004,6856023.4083,119,GALERIE MODERN'ART,galerie d'art,,,,,,,,,,12 RUE GEORGES HUCHON,Commerces de l'art et d'antiquités
650904.419200003,6856045.7066,120,MAISON DE LA PRESSE ARCUEIL,librairie,maison de la presse, , , , , , , , ,20 RUE SAINT-ROCH,Commerces du livre
658007.410499997,6856054.9763,121,LA RUCHE,librairie,généraliste, , , ,Paris Librairies,Place des Libraires, , , ,89 RUE SAINT-ANTOINE,Commerces du livre
662307.287299998,6856125.3983,122,LE FUNAMBULE,librairie,généraliste, , , , , , , , ,RUE DES ORFÈVRES & RUE SAINT-GERMAIN-L'AUXERROIS,Commerces du livre
653482.177699998,6856205.0349,123,OLIVIER PEYRONNET,galerie d'art,atelier-galerie,,,,,,,,,106 RUE VIEILLE DU TEMPLE,Commerces de l'art et d'antiquités
647792.989399999,6856277.5895,124,LIBRAIRIE CHIMERE,librairie,généraliste, , , ,Place des Libraires, , , , ,45 AVENUE DU MARÉCHAL FOCH,Commerces du livre
635741.124300003,6856295.5605,125,LIBRAIRIE DES PRINCES,librairie,spécialisée,arts, , , , , , , ,45 RUE CARNOT,Commerces du livre
636413.661399998,6856338.3755,126,GALERIE SAINT-SIMON,galerie d'art,,,,,,,,,,8 AVENUE DU GÉNÉRAL DE GAULLE,Commerces de l'art et d'antiquités
657364.287100002,6856366.4483,127,L'ETABLI,librairie,généraliste, , ,Librairie Indépendante de Référence,Paris Librairies,Place des Libraires, , , ,20 RUE SAINT-AUGUSTIN,Commerces du livre
645241.306400001,6856439.4482,128,LIBRAIRIE SAINTE-MARIE,librairie,spécialisée,livres rares, , , , , , , ,46 AVENUE DE LA MARNE,Commerces du livre
637124.376199998,6856445.6026,129,LE LIVRE BLEU,librairie,généraliste, , , ,Place des Libraires, , , , ,11 PLACE DE LA LIBERTE,Commerces du livre
661437.702699997,6856453.3509,130,ABC BREON,antiquaire,,,,,,,,,,43-53 RUE DE PARIS,Commerces de l'art et d'antiquités
637126.517899998,6856453.4784,131,LIBRAIRIE DE MONTREUIL,librairie,maison de la presse, , , , , , , , ,63-69 RUE DES BOURGUIGNONS,Commerces du livre
636031.917800002,6856470.3376,132,HOTEL DES VENTES DU CHÂTEAU,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités
636288.9811,6856495.7533,133,LE COMPTOIR DE LA BD VERSAILLES,librairie,spécialisée,bande dessinée, , ,Canal BD, , , , ,IMPASSE DU TIR & RUE VICTOR HUGO,Commerces du livre
640127.227200001,6856515.0135,134,LA POINTE PRESSE,librairie,maison de la presse, , , , , , , , ,83 AVENUE JEAN LOLIVE,Commerces du livre
636002.226899996,6856541.943,135,DHERAST GALERIE,galerie d'art,,,,,,,,,,72 AVENUE DU BAC,Commerces de l'art et d'antiquités
668703.336099997,6856625.7425,136,PLESSIS PRESS,librairie,maison de la presse, , , , , , , , ,47 RUE NOTRE-DAME DE NAZARETH,Commerces du livre
635968.420000002,6856646.621,137,LA PROCURE VERSAILLES,librairie,spécialisée,religion,christianisme, ,Place des Libraires, , , , ,66 AVENUE PIERRE LAROUSSE,Commerces du livre
636133.884199999,6856671.7043,138,GIBERT JOSEPH,librairie,généraliste, , , , , , , , ,29 BOULEVARD DE STALINGRAD,Commerces du livre
643931.792900003,6856683.1367,139,ANAGRAMME MEUDON,librairie,généraliste, , , ,Place des Libraires, , , , ,9 AVENUE DE LA RÉSISTANCE,Commerces du livre
706118.197899997,6856684.9144,140,HOTEL DES VENTES DE COULOMMIERS,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités
636233.667300001,6856708.7453,141,ANTIQUITES REMI DUBOIS,antiquaire,,,,,,,,,,QUAI DES GRANDS-AUGUSTINS,Commerces de l'art et d'antiquités
636233.667300001,6856708.7453,142,GALERIE BLB ANTIQUITES,antiquaire,,,,,,,,,,QUAI DES GRANDS-AUGUSTINS,Commerces de l'art et d'antiquités
636214.213100001,6856716.7191,143,GALERIE TOURMALINE,antiquaire,,,,,,,,,,QUAI DES GRANDS-AUGUSTINS,Commerces de l'art et d'antiquités
661192.973899998,6856726.7378,144,LA GRIFFE NOIRE,librairie,généraliste, , , , , , , , ,IMPASSE DES BOURDONNAIS & RUE DES BOURDONNAIS,Commerces du livre
636200.027000003,6856728.6882,145,ROCHAS SYLVAIN ANTIQUITES,antiquaire,,,,,,,,,,QUAI DES GRANDS-AUGUSTINS,Commerces de l'art et d'antiquités
636200.027000003,6856728.6882,146,GALERIE JEAN-PIERRE GUTMAN,antiquaire,,,,,,,,,,QUAI DES GRANDS-AUGUSTINS,Commerces de l'art et d'antiquités
661209.830300003,6856732.52,147,LA GRIFFE NOIRE BD,librairie,spécialisée,bande dessinée, , , , , , , ,17 RUE D'ARGENTEUIL,Commerces du livre
636204.125,6856734.0909,148,GALERIE ANAMNESIA,antiquaire,,,,,,,,,,QUAI DES GRANDS-AUGUSTINS,Commerces de l'art et d'antiquités
636203.277800001,6856737.1014,149,GALERIE ANAGAMA,galerie d'art,,,,,,,,,,23-31 RUE DE NEUILLY,Commerces de l'art et d'antiquités
636203.277800001,6856737.1014,150,ANTIQUITES JEAN-MARIE CHAPUIS,antiquaire,,,,,,,,,,VOIE GEORGES POMPIDOU,Commerces de l'art et d'antiquités
636178.405100003,6856746.4951,151,ARTS ET ANTIQUITES PELLAT DE VILLEDON,antiquaire,,,,,,,,,,QUAI DES GRANDS-AUGUSTINS,Commerces de l'art et d'antiquités
659137.080600001,6856763.6529,152,LIBRAIRIE PAPETERIE ESPACE DETENTE,librairie,maison de la presse, , , , , , , , ,25 RUE SAINT-ANTOINE,Commerces du livre
636235.779799998,6856774.3285,153,ACANTHE ARTS ET STYLES,antiquaire,,,,,,,,,,QUAI DES GRANDS-AUGUSTINS,Commerces de l'art et d'antiquités
636225.679700002,6856777.3336,154,GALERIE TOURMALINE,antiquaire,,,,,,,,,,VOIE GEORGES POMPIDOU,Commerces de l'art et d'antiquités
636184.493199997,6856778.8958,155,GALERIE ACC CLAUDE CHIMCHI,antiquaire,,,,,,,,,,RUE GÎT-LE-COEUR,Commerces de l'art et d'antiquités
636184.493199997,6856778.8958,156,IMPROVISATIONS & CO,antiquaire,,,,,,,,,,QUAI DES GRANDS-AUGUSTINS,Commerces de l'art et d'antiquités
636184.493199997,6856778.8958,157,MARIE-JEANNE ROUSSELET,antiquaire,,,,,,,,,,QUAI DES GRANDS-AUGUSTINS,Commerces de l'art et d'antiquités
636224.263599999,6856782.3542,158,GALERIE ARCANES,antiquaire,,,,,,,,,,QUAI DES GRANDS-AUGUSTINS,Commerces de l'art et d'antiquités
636224.014600001,6856786.0245,159,GALERIE KATANA-YA,antiquaire,,,,,,,,,,QUAI DES GRANDS-AUGUSTINS,Commerces de l'art et d'antiquités
636223.685599998,6856789.6957,160,GALERIE MADELEINE,antiquaire,,,,,,,,,,VOIE GEORGES POMPIDOU,Commerces de l'art et d'antiquités
636225.472499996,6856798.7961,161,GALERIE ANNICK VIDAL,antiquaire,,,,,,,,,,QUAI DES GRANDS-AUGUSTINS,Commerces de l'art et d'antiquités
636225.472499996,6856798.7961,162,BOUSQUET RICHARD,antiquaire,,,,,,,,,,QUAI DES GRANDS-AUGUSTINS,Commerces de l'art et d'antiquités
636352.0361,6856799.7402,163,GALERIE JBM,galerie d'art,,,,,,,,,,24 RUE DU DOCTEUR HÉNOUILLE,Commerces de l'art et d'antiquités
636227.372900002,6856804.223,164,GALERIE L'INTEMPOREL,antiquaire,,,,,,,,,,QUAI DES GRANDS-AUGUSTINS,Commerces de l'art et d'antiquités
636228.430200003,6856806.8817,165,LE CHEVAL BLEU - EDOUARD SENE,librairie,spécialisée,livres rares, , , , , , , ,50 AVENUE PIERRE LAROUSSE,Commerces du livre
636235.906900004,6856818.9206,166,ANTIQUITES PHILIPPE LECLERCQ,antiquaire,,,,,,,,,,QUAI DES GRANDS-AUGUSTINS,Commerces de l'art et d'antiquités
635811.332599998,6856860.6302,167,LIBRAIRIE-CAFE LA SUITE,librairie,généraliste, , , ,Place des Libraires, , , , ,45 RUE CARNOT,Commerces du livre
