X,Y,OBJECTID,l_ep_maj,l_type,sous_cat,sous_cat2,sous_cat3,label,reseau1,reseau2,reseau3,reseau4,reseau5,adresse,type_lieu
644227.921999998,6865908.0537,3019,CULTURA LA DEFENSE,grande distribution,grande distribution de produits culturels, , , , , , ,,,18 RUE DANIELLE CASANOVA,Commerces du livre
647920.877099998,6865914.1383,3020,LIBRAIRIE SEVEZEN,librairie,spécialisée,livres d'occasion, , ,Place des Libraires, , , , ,1 AVENUE DU DAUPHINE,Commerces du livre
647927.899999999,6865918.2,3021,GALERIE ARTE VIVA,galerie d'art,,,,,,,,,,143 RUE DE LA COMMUNE DE PARIS,Commerces de l'art et d'antiquités
651465.534500003,6865923.6619,3022,ATELIER 156,galerie d'art,,,,,,,,,,33-43 RUE LOUIS ROUQUIER,Commerces de l'art et d'antiquités
647726.818700001,6865926.8952,3023,BULLES DE SALON LEVALLOIS-PERRET,librairie,spécialisée,bande dessinée, , ,Canal BD, , , , ,3 RUE DU GARDE-CHASSE,Commerces du livre
647726.818700001,6865926.8952,3024,CHARLYLIT,librairie,spécialisée,jeunesse, , , , , , , ,167-171 RUE ANDRÉ KARMAN,Commerces du livre
656478.495700002,6865939.7843,3025,LA MALLE AUX HISTOIRES,librairie,généraliste, , , ,Librairies 93,Place des Libraires,Initiales, , ,28 AVENUE GABRIEL PERI,Commerces du livre
640961.710699998,6865946.5578,3026,MAISON DE LA PRESSE NANTERRE VILLE,librairie,maison de la presse, , , , , , , , ,6 RUE RENÉ ROECKEL,Commerces du livre
647810.710500002,6865967.9521,3027,ANTIQUITES MERCURIO,antiquaire,,,,,,,,,,QUAI DE CONTI,Commerces de l'art et d'antiquités
664358.683899999,6865974.0946,3028,TOUATI-DUFFAUD - MAISON DE VENTES AUX ENCHERES,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités
650419.030900002,6865989.5198,3029,RESISTANCES,librairie,spécialisée,militante, , ,Place des Libraires, , , , ,28-28 AVENUE DU PROFESSEUR ANDRÉ LEMIERRE,Commerces du livre
660569.569399998,6865998.9547,3030,L'ATELIER 51,galerie d'art,,,,,,,,,,RUE CHARLES V & RUE SAINT-PAUL,Commerces de l'art et d'antiquités
644350.2755,6866019.0824,3031,FNAC LA DEFENSE - CNIT,grande distribution,grande distribution de produits culturels, , , , , , ,,,18 RUE DUSSOUBS,Commerces du livre
654026.822099999,6866031.5664,3032,BIBLIEUROPE,librairie,spécialisée,religion,judaïsme, , , , , , ,8 PLACE GASTON VIENS,Commerces du livre
653319.857000001,6866041.0861,3033,LA BANDE DES CINES,librairie,spécialisée,bande dessinée, , , , , , , ,RUE DU 8 MAI 1945 & RUE DU FAUBOURG SAINT-MARTIN,Commerces du livre
651861.6527,6866060.4594,3034,AU PAPYRUS,librairie,maison de la presse, , , , , , , , ,18-30 AVENUE DE LA PORTE DE CLIGNANCOURT,Commerces du livre
651401.216399997,6866061.3548,3035,*** NON RENSEIGNE ***,antiquaire,,,,,,,,,,16 ROUTE DE MAROLLES,Commerces de l'art et d'antiquités
650787.633900002,6866065.8358,3036,FARANG,galerie d'art,,,,,,,,,,25-25 RUE TRÉBOIS,Commerces de l'art et d'antiquités
648505.723700002,6866068.5931,3037,DECITRE SO OUEST,librairie,généraliste, , , , , , , , ,RUE CHARRON & RUE DE LA COURNEUVE,Commerces du livre
648505.723700002,6866068.5931,3038,YELLOWKORNER,galerie d'art,,,,,,,,,,4 RUE ELLA FITZGERALD,Commerces de l'art et d'antiquités
648505.723700002,6866068.5931,3039,YELLOW PAW,galerie d'art,,,,,,,,,,99 RUE DE RIVOLI,Commerces de l'art et d'antiquités
654905.695200004,6866098.5343,3040,MONSIEUR JOSEPH,antiquaire,,,,,,,,,,19 RUE JULES VALLÈS,Commerces de l'art et d'antiquités
647680.214900002,6866117.0299,3041,LES BEAUX TITRES,librairie,généraliste, , ,Librairie Indépendante de Référence,Place des Libraires,Libraires en Seine, , , ,1 ALLÉE DE LA MAIN FERME,Commerces du livre
652021.374399997,6866130.9527,3042,CHEMIN DES ARTS,librairie,spécialisée,arts, , , , , , , ,PASSAGE DE LA CANOPÉE,Commerces du livre
654106.658100002,6866139.6956,3043,LA LUCARNE DES ECRIVAINS,librairie,spécialisée,livres d'occasion, , , , , , , ,39 RUE DE LA RÉSISTANCE,Commerces du livre
646106.432499997,6866157.1547,3044,BRITISH IMPORT,antiquaire,,,,,,,,,,1-1 IMPASSE DE CONTI,Commerces de l'art et d'antiquités
650661.957800001,6866163.988,3045,LA SARDINE A LIRE,librairie,spécialisée,jeunesse, , ,Place des Libraires, , , , ,34B RUE SORBIER,Commerces du livre
650464.735299997,6866167.0701,3046,L'USAGE DU MONDE,librairie,généraliste, , ,Librairie Indépendante de Référence,Paris Librairies,Place des Libraires, , , ,112 RUE DES ROSIERS,Commerces du livre
652359.788400002,6866180.8834,3047,GALERIE SIMPLE,galerie d'art,,,,,,,,,,9 RUE DE CASTIGLIONE,Commerces de l'art et d'antiquités
651978.306100003,6866188.4069,3048,99ATELIER D'ART,galerie d'art,,,,,,,,,,RUE MYRTILLE BEER & RUE DES ROSIERS,Commerces de l'art et d'antiquités
654764.090400003,6866205.7763,3049,MAOR,librairie,spécialisée,religion,judaïsme, , , , , , ,LOTISSEMENT LES BOSQUETS,Commerces du livre
652055.423,6866223.542,3050,L'ODEUR DU BOOK,librairie,spécialisée,sciences,SHS, ,Leslibraires.fr,Lalibrairie.com, , , ,192 AVENUE CHARLES FLOQUET,Commerces du livre
664359.891000003,6866230.0723,3051,FOLIES D'ENCRE LE RAINCY,librairie,généraliste, , , ,Librairies 93,Place des Libraires, , , ,4 PL DU MAL DE LATTRE DE TASSIGNY,Commerces du livre
657496.998599999,6866230.4606,3052,CSA ANTIQUITES,antiquaire,,,,,,,,,,QUAI DES GRANDS-AUGUSTINS,Commerces de l'art et d'antiquités
651686.5405,6866251.264,3053,L'HUMEUR VAGABONDE JEUNESSE,librairie,spécialisée,jeunesse, ,Librairie Indépendante de Référence, , , , , ,5 RUE TONY GARNIER,Commerces du livre
665274.133599997,6866255.4286,3054,LIBRAIRIE DU PLATEAU,librairie,maison de la presse, , , , , , , , ,35-35 RUE DE PARIS,Commerces du livre
658571.032499999,6866260.5827,3055,JEUNE CREATION,foire d'art,art contemporain,,,,,,,,,10 RUE DES ECOLES,Commerces de l'art et d'antiquités
